,IAGA,GEOLON,GEOLAT,AACGMLON,AACGMLAT,STATION-NAME,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,SON,66.44,25.12,139.81,19.36,Sonmiani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,95.0,89.0,95.0,81.0,88.0,34.0,64.0,0.0,0.0,0.0
1,AMU,210.13,61.24,-93.38,61.32,Anchorage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,92.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,YKC,245.52,62.48,-56.85,69.42,Yellowknife,100.0,92.0,100.0,99.0,100.0,99.0,94.0,100.0,100.0,99.0,85.0,100.0,100.0,63.0,97.0,98.0,99.0,100.0,100.0,99.0,95.0,96.0,92.0,80.0,84.0,99.0,100.0,99.0,87.0,39.0
3,CBB,254.97,69.12,-47.81,77.05,Cambridge Bay,100.0,100.0,99.0,99.0,99.0,99.0,100.0,99.0,97.0,100.0,100.0,100.0,99.0,100.0,100.0,95.0,100.0,100.0,87.0,93.0,91.0,96.0,100.0,84.0,10.0,100.0,100.0,100.0,100.0,38.0
4,RES,265.11,74.69,-35.54,82.93,Resolute Bay,100.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,93.0,99.0,99.0,100.0,100.0,96.0,100.0,96.0,100.0,98.0,91.0,88.0,83.0,92.0,100.0,84.0,100.0,92.0,37.0
5,BLC,263.99,64.32,-30.06,73.6,Baker Lake,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.0,80.0,63.0,92.0,99.0,100.0,99.0,100.0,96.0,97.0,95.0,84.0,97.0,71.0,93.0,88.0,35.0,99.0,69.0,29.0
6,MEA,246.65,54.62,-52.1,61.85,Meanook,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,92.0,98.0,99.0,90.0,95.0,99.0,100.0,100.0,100.0,99.0,98.0,100.0,97.0,98.0,100.0,93.0,98.0,38.0
7,SIT,224.67,57.06,-77.83,59.87,Sitka,99.0,99.0,100.0,100.0,99.0,100.0,97.0,100.0,100.0,98.0,100.0,97.0,99.0,99.0,100.0,100.0,99.0,86.0,95.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,88.0,99.0,100.0,39.0
8,PBQ,282.26,55.28,0.2,65.01,Poste de la Baleine,100.0,100.0,93.0,100.0,100.0,100.0,99.0,97.0,100.0,100.0,94.0,100.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,MEK,30.97,62.77,108.66,59.57,Mekrijaervi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,96.0,88.0,96.0,100.0,99.0,91.0,98.0,94.0,84.0,89.0,97.0,97.0,82.0,96.0,97.0,70.0,92.0,91.0,98.0,38.0
10,STJ,307.32,47.6,31.64,52.6,St Johns,98.0,100.0,97.0,99.0,99.0,92.0,100.0,97.0,99.0,100.0,98.0,96.0,99.0,94.0,49.0,72.0,0.0,96.0,100.0,100.0,98.0,78.0,97.0,97.0,97.0,99.0,99.0,97.0,87.0,39.0
11,ALE,297.5,82.5,86.95,87.14,Alert,89.0,77.0,90.0,92.0,100.0,98.0,88.0,96.0,100.0,97.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,LRV,338.3,64.18,66.72,65.01,Leirvogur,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,33.0
13,BOU,254.76,40.14,-38.69,48.52,Boulder,98.0,94.0,99.0,99.0,98.0,93.0,99.0,100.0,100.0,98.0,91.0,97.0,99.0,99.0,100.0,100.0,100.0,100.0,98.0,99.0,99.0,98.0,99.0,99.0,98.0,99.0,98.0,98.0,93.0,38.0
14,FRN,240.28,37.09,-54.89,42.63,Fresno,96.0,93.0,98.0,98.0,97.0,89.0,96.0,98.0,89.0,99.0,99.0,98.0,97.0,0.0,97.0,99.0,98.0,99.0,99.0,91.0,0.0,96.0,99.0,98.0,96.0,100.0,99.0,97.0,100.0,35.0
15,VIC,236.58,48.52,-62.05,53.62,Victoria,100.0,98.0,97.0,99.0,95.0,99.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,99.0,100.0,99.0,99.0,89.0,93.0,99.0,31.0,86.0,100.0,98.0,99.0,100.0,98.0,100.0,87.0,39.0
16,NEW,242.88,48.27,-54.82,54.65,Newport,99.0,92.0,91.0,96.0,97.0,96.0,94.0,96.0,93.0,88.0,96.0,98.0,98.0,100.0,100.0,100.0,100.0,100.0,96.0,96.0,97.0,100.0,99.0,99.0,100.0,94.0,99.0,100.0,99.0,39.0
17,LOV,17.83,59.35,96.13,56.27,Lovo,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
